celebrity,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season,placement,week_1_min_fan_percentage,week_1_max_fan_percentage,week_1_delta,week_1_point_estimate,week_2_min_fan_percentage,week_2_max_fan_percentage,week_2_delta,week_2_point_estimate,week_3_min_fan_percentage,week_3_max_fan_percentage,week_3_delta,week_3_point_estimate,week_4_min_fan_percentage,week_4_max_fan_percentage,week_4_delta,week_4_point_estimate,week_5_min_fan_percentage,week_5_max_fan_percentage,week_5_delta,week_5_point_estimate,week_6_min_fan_percentage,week_6_max_fan_percentage,week_6_delta,week_6_point_estimate,week_7_min_fan_percentage,week_7_max_fan_percentage,week_7_delta,week_7_point_estimate,week_8_min_fan_percentage,week_8_max_fan_percentage,week_8_delta,week_8_point_estimate,week_9_min_fan_percentage,week_9_max_fan_percentage,week_9_delta,week_9_point_estimate,week_10_min_fan_percentage,week_10_max_fan_percentage,week_10_delta,week_10_point_estimate,week_11_min_fan_percentage,week_11_max_fan_percentage,week_11_delta,week_11_point_estimate
Gilles Marini,Peta Murgatroyd,Actor/Actress,,France,36,15,6,0,0.500899159,0.500899159,0.076903948,0,0.500900797,0.500900797,0.083334682,0,0.253584622,0.253584622,0.090930118,0,1,1,0.111148772,0,0.502244719,0.502244719,0.124989723,0,0.206619168,0.206619168,0.12499247,0,0.211137388,0.211137388,0.142853465,0,0.501807298,0.501807298,0.14283468,,,,,,,,,,,,
Sabrina Bryan,Louis van Amstel,Actor/Actress,California,United States,28,15,8,0,0.337542743,0.337542743,0.077039285,0.072511268,1,0.927488732,0.083337513,0,0.253584622,0.253584622,0.090930118,0,0.172864173,0.172864173,0.110949533,0.118407701,1,0.881592299,0.124998517,0,1,1,0.124994321,,,,,,,,,,,,,,,,,,,,
Kirstie Alley,Maksim Chmerkoskiy,Actor/Actress,Kansas,United States,61,15,7,0,0.092786171,0.092786171,0.076756567,0,0.099766008,0.099766008,0.083337517,0,0.117283933,0.117283933,0.090968756,0,0.128870736,0.128870736,0.111259227,0,0.151035404,0.151035404,0.125057028,0,0.206619168,0.206619168,0.12499247,0,0.169981885,0.169981885,0.142857299,0,0.157724815,0.157724815,0.143028303,,,,,,,,,,,,
Kelly Monaco,Valentin Chmerkovskiy,Actor/Actress,Pennsylvania,United States,36,15,3,0,0.171169129,0.171169129,0.076916268,0,0.10612942,0.10612942,0.083335416,0,1,1,0.090849499,0,0.337473893,0.337473893,0.11108996,0,0.134115733,0.134115733,0.124983018,0,0.149472882,0.149472882,0.125015679,0,0.340209992,0.340209992,0.142847425,0,0.204277111,0.204277111,0.142825007,0,0.259835553,0.259835553,0.200030221,0,0.501266337,0.501266337,0.333327102,,,,
Apolo Anton Ohno,Karina Smirnoff,Athlete,Washington,United States,30,15,5,0,0.254505796,0.254505796,0.077020159,0,0.252702391,0.252702391,0.083313778,0,0.253584622,0.253584622,0.090930115,0,0.150826794,0.150826794,0.111054475,0,0.502244719,0.502244719,0.124989725,0,1,1,0.124994321,0,0.177660569,0.177660569,0.14286968,0,0.501807298,0.501807298,0.14283468,0,0.335819083,0.335819083,0.200033963,,,,,,,,
Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,43,15,4,0.065281636,1,0.934718364,0.077084194,0,0.149297122,0.149297122,0.083337099,0,0.128357302,0.128357302,0.090834438,0,0.205891798,0.205891798,0.111110308,0,0.168343956,0.168343956,0.125002532,0,0.132715863,0.132715863,0.124994989,0,0.259799078,0.259799078,0.142857321,0,0.251732797,0.251732797,0.14280747,0,0.208490231,0.208490231,0.19995514,,,,,,,,
Shawn Johnson,Derek Hough,Athlete,Iowa,United States,20,15,2,0,0.254505796,0.254505796,0.077020159,0,0.335134928,0.335134928,0.083330848,0,0.334525707,0.334525707,0.090802925,0,1,1,0.111148769,0,0.502244719,0.502244719,0.124989729,0,0.256071571,0.256071571,0.125011898,0,0.502061328,0.502061328,0.142855057,0,0.17231348,0.17231348,0.142835437,0.190799697,1,0.809200303,0.200007106,0,0.335441847,0.335441847,0.333241628,,,,
Pamela Anderson,Tristan MacManus,Model,,Canada,45,15,13,0,0.09231641,0.09231641,0.076749397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Helio Castroneves,Chelsie Hightower,Racing Driver,,Brazil,37,15,10,0,0.171169129,0.171169129,0.076916268,0,0.172378382,0.172378382,0.083339789,0,0.253584622,0.253584622,0.090930118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joey Fatone,Kym Johnson,Singer/Rapper,New York,United States,35,15,12,0,0.105758618,0.105758618,0.076917691,0,0.149297122,0.149297122,0.083337101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drew Lachey,Anna Trebunskaya,Singer/Rapper,Ohio,United States,36,15,11,0,0.171169129,0.171169129,0.076916271,0,0.149297122,0.149297122,0.083337103,0,0.117283933,0.117283933,0.090968756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bristol Palin,Mark Ballas,TV Personality,Alaska,United States,21,15,9,0,0.099422959,0.099422959,0.076953098,0,0.101406775,0.101406775,0.083330441,0,0.100855657,0.100855657,0.091005664,0,0.138768738,0.138768738,0.111139491,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melissa Rycroft,Tony Dovolani,TV Personality,Texas,United States,29,15,1,0,0.115711258,0.115711258,0.076806696,0,0.205052464,0.205052464,0.083328713,0,1,1,0.090849491,0,0.254264327,0.254264327,0.111099465,0,0.502244719,0.502244719,0.124989729,0,0.334801593,0.334801593,0.125003853,0.124587208,1,0.875412792,0.142859753,0.135193228,1,0.864806772,0.142834421,0,0.502556353,0.502556353,0.19997357,0.331012739,1,0.668987261,0.33343127,,,,
Ingo Rademacher,Kym Johnson,Actor/Actress,,Germany,41,16,5,0,0.206103537,0.206103537,0.083398488,0,0.21555577,0.21555577,0.08334336,0,0.179415695,0.179415695,0.090994972,0,0.209805429,0.209805429,0.100048858,0,0.187375319,0.187375319,0.111063685,0,0.262584469,0.262584469,0.125010093,0,0.219545217,0.219545217,0.142837258,0,0.218629518,0.218629518,0.166559513,0,0.219130936,0.219130936,0.200028906,,,,,,,,
Zendaya,Valentin Chmerkovskiy,Actor/Actress,California,United States,16,16,2,0.061890673,1,0.938109327,0.083263756,0,1,1,0.083333361,0,1,1,0.090759675,0,0.502227143,0.502227143,0.100014874,0.083501797,1,0.916498203,0.111093974,0,0.336860027,0.336860027,0.125050496,0,0.505429783,0.505429783,0.142895189,0.146863156,1,0.853136844,0.166693462,0,0.259739273,0.259739273,0.19998505,0,1,1,0.249865165,,,,
Dorothy Hamill,Tristan MacManus,Athlete,Illinois,United States,56,16,12,0,0.506545218,0.506545218,0.083334341,0,0.105160423,0.105160423,0.083324119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Victor Ortiz,Lindsay Arnold,Athlete,Kansas,United States,26,16,8,0,0.135894531,0.135894531,0.083319343,0,0.141885738,0.141885738,0.083304428,0,0.258497727,0.258497727,0.090880397,0,0.132905397,0.132905397,0.099937026,0,0.187375319,0.187375319,0.111063684,0,0.143869204,0.143869204,0.124926713,,,,,,,,,,,,,,,,,,,,
Alexandra Raisman,Mark Ballas,Athlete,Massachusetts,United States,18,16,4,0,0.506545218,0.506545218,0.083334343,0,0.338791148,0.338791148,0.083365337,0,0.258497727,0.258497727,0.090880476,0.079496286,1,0.920503714,0.100062355,0,0.258358206,0.258358206,0.111179717,0,0.50264752,0.50264752,0.124967017,0.111831242,1,0.888168758,0.14285412,0,0.503210434,0.503210434,0.166710725,0,1,1,0.199995082,0,0.339024677,0.339024677,0.249987274,,,,
Jacoby Jones,Karina Smirnoff,Athlete,Louisiana,United States,28,16,3,0,0.206103537,0.206103537,0.083398486,0,0.257159631,0.257159631,0.083360945,0,1,1,0.090759675,0,0.2578025,0.2578025,0.100000227,0,0.339702919,0.339702919,0.11116801,0,0.177258413,0.177258413,0.125105846,0,0.263571957,0.263571957,0.142846655,0,0.260435161,0.260435161,0.166531417,0,1,1,0.199995082,0,0.260671911,0.260671911,0.250282355,,,,
D. L. Hughley,Cheryl Burke,Comedian,Virginia,United States,50,16,9,0,0.11423242,0.11423242,0.083252944,0,0.110632101,0.110632101,0.083339524,0,0.125504788,0.125504788,0.091043975,0,0.18227,0.18227,0.10000045,0,0.153082548,0.153082548,0.111104474,,,,,,,,,,,,,,,,,,,,,,,,
Andy Dick,Sharna Burgess,Comedian,South Carolina,United States,47,16,7,0,0.102793124,0.102793124,0.083315096,0,0.21555577,0.21555577,0.08334336,0,0.130949112,0.130949112,0.090829854,0,0.18227,0.18227,0.100000447,0,0.153082548,0.153082548,0.111104473,0,0.156474388,0.156474388,0.125046879,0,0.193292981,0.193292981,0.142786401,,,,,,,,,,,,,,,,
Wynonna Judd,Tony Dovolani,Singer/Rapper,Kentucky,United States,48,16,11,0,0.135894531,0.135894531,0.083319345,0,0.141885738,0.141885738,0.083304427,0,0.11795465,0.11795465,0.090981116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kellie Pickler,Derek Hough,Singer/Rapper,North Carolina,United States,26,16,1,0,0.506545218,0.506545218,0.083334344,0,1,1,0.083333355,0,0.336162984,0.336162984,0.090879857,0,0.502227143,0.502227143,0.100014872,0,0.504779689,0.504779689,0.111158959,0.106793926,1,0.893206074,0.124882851,0,0.34056971,0.34056971,0.142872225,0,0.337610579,0.337610579,0.166673714,0,0.335690733,0.335690733,0.19999588,0,1,1,0.249865207,,,,
Lisa Vanderpump,Gleb Savchenko,TV Personality,,England,52,16,10,0,0.135894531,0.135894531,0.083319344,0,0.141885738,0.141885738,0.083304424,0,0.179415695,0.179415695,0.090994963,0,0.132905397,0.132905397,0.099937023,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sean Lowe,Peta Murgatroyd,TV Personality,Texas,United States,29,16,6,0,0.150951223,0.150951223,0.08341017,0,0.21555577,0.21555577,0.083343359,0,0.179415695,0.179415695,0.090995041,0,0.1406,0.1406,0.099983868,0,0.210506316,0.210506316,0.111063025,0,0.262584469,0.262584469,0.125010105,0,0.187475,0.187475,0.142908152,0,0.198260102,0.198260102,0.166831169,,,,,,,,,,,,
Valerie Harper,Tristan MacManus,Actor/Actress,New York,United States,74,17,10,0,0.133769062,0.133769062,0.083351816,0,0.115379534,0.115379534,0.083324637,0,0.130954392,0.130954392,0.090918082,0,0.124031633,0.124031633,0.100110916,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brant Daugherty,Peta Murgatroyd,Actor/Actress,Ohio,United States,28,17,7,0,0.173813125,0.173813125,0.083353468,0,0.148213426,0.148213426,0.083291828,0.075962193,1,0.924037807,0.091078128,0,0.140810285,0.140810285,0.0999738,0,0.336163546,0.336163546,0.111106333,0,0.336205724,0.336205724,0.124987008,0,0.336336448,0.336336448,0.125002518,0,0.208321333,0.208321333,0.142839079,,,,,,,,,,,,
Elizabeth Berkley Lauren,Valentin Chmerkovskiy,Actor/Actress,Michigan,United States,39,17,6,0,0.505854375,0.505854375,0.083293875,0,0.501874699,0.501874699,0.0833349,0,0.253911569,0.253911569,0.090939838,0,1,1,0.100001889,0,0.171619539,0.171619539,0.111095803,0,0.499990433,0.499990433,0.124963133,0,0.207211476,0.207211476,0.124995273,0,0.182273333,0.182273333,0.142794515,0,0.503169603,0.503169603,0.166681851,,,,,,,,
Leah Remini,Tony Dovolani,Actor/Actress,New York,United States,43,17,5,0,0.133769062,0.133769062,0.083351815,0,0.253749398,0.253749398,0.083332755,0,0.17253402,0.17253402,0.090802446,0,0.259486171,0.259486171,0.099983921,0,0.128580757,0.128580757,0.11116605,0,0.211233623,0.211233623,0.124986665,0,0.149934486,0.149934486,0.124995388,0,0.340271111,0.340271111,0.142825964,0,0.33967254,0.33967254,0.166702887,0,0.271413571,0.271413571,0.199997766,,,,
Corbin Bleu,Karina Smirnoff,Actor/Actress,New York,United States,24,17,2,0,0.505854375,0.505854375,0.083293875,0.068956472,1,0.931043528,0.083370163,0,0.501955784,0.501955784,0.090959544,0,1,1,0.100001889,0,1,1,0.111109568,9.57E-06,0.179628797,0.17961923,0.124998435,0,1,1,0.125004428,0,1,1,0.142962458,0.149226349,1,0.850773651,0.166678028,0,0.505709286,0.505709286,0.200007483,0,0.507273641,0.507273641,0.250015151
Amber Riley,Derek Hough,Actor/Actress,California,United States,27,17,1,0.061229583,1,0.938770417,0.083390073,0,0.253749398,0.253749398,0.083332755,0,0.17253402,0.17253402,0.090802446,0,1,1,0.100001889,0,0.171619539,0.171619539,0.1110958,0.111506815,0.999990433,0.888483618,0.1249727,0,1,1,0.125004429,0,0.340271111,0.340271111,0.142825965,0,0.211414571,0.211414571,0.166681132,0.174305714,1,0.825694286,0.200028172,0.226361164,1,0.773638836,0.250051867
Keyshawn Johnson,Sharna Burgess,Athlete,California,United States,41,17,12,0,0.110408523,0.110408523,0.083378875,0,0.108299029,0.108299029,0.083358119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bill Engvall,Emma Slater,Comedian,Texas,United States,56,17,4,0,0.117553125,0.117553125,0.083418378,0,0.136256945,0.136256945,0.083306111,0,0.17253402,0.17253402,0.090802446,0,0.140810285,0.140810285,0.09997383,0,0.136152713,0.136152713,0.111104266,0,0.146068969,0.146068969,0.125177956,0,0.137109433,0.137109433,0.125000163,0,0.16069,0.16069,0.142789562,0,0.19998,0.19998,0.166553201,0,0.228551429,0.228551429,0.2000262,0,0.277277283,0.277277283,0.249965456
Christina Milian,Mark Ballas,Singer/Rapper,New Jersey,United States,31,17,9,0,0.173813125,0.173813125,0.083353469,0,0.501874699,0.501874699,0.083334902,0,0.501955784,0.501955784,0.090959545,0,0.259486171,0.259486171,0.099983921,0,1,1,0.111109542,,,,,,,,,,,,,,,,,,,,,,,,
"Nicole ""Snooki"" Polizzi",Sasha Farber,TV Personality,,Chile,25,17,8,0,0.255849375,0.255849375,0.083267578,0,0.124450084,0.124450084,0.083289781,0,0.253911569,0.253911569,0.090939839,0,0.259486171,0.259486171,0.099983921,0,0.336163546,0.336163546,0.111106333,0,0.255393558,0.255393558,0.124925234,0,0.207211476,0.207211476,0.124995273,,,,,,,,,,,,,,,,
Jack Osbourne,Cheryl Burke,TV Personality,,England,27,17,3,0,0.255849375,0.255849375,0.083267578,0,0.253749398,0.253749398,0.083332755,0,0.121985468,0.121985468,0.090879607,0,0.259486171,0.259486171,0.099984024,0,0.336163546,0.336163546,0.111106304,0,0.15395934,0.15395934,0.124988868,0,0.336336448,0.336336448,0.125002527,0,1,1,0.142962458,0,0.33967254,0.33967254,0.1667029,0,0.344751905,0.344751905,0.19994038,0,0.347878868,0.347878868,0.249967525
Bill Nye,Tyne Stecklein,TV Personality,Washington D.C.,United States,57,17,11,0,0.111940833,0.111940833,0.083279198,0,0.102711059,0.102711059,0.083391296,0,0.130954392,0.130954392,0.090918079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Billy Dee Williams,Emma Slater,Actor/Actress,New York,United States,76,18,10,0,0.109378092,0.109378092,0.083459595,0,0.120320954,0.120320954,0.090904672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danica McKellar,Valentin Chmerkovskiy,Actor/Actress,California,United States,39,18,6,0,0.338412392,0.338412392,0.083276421,0,0.25306627,0.25306627,0.090874349,0,0.504818151,0.504818151,0.111098058,0,0.174504675,0.174504675,0.111101199,0,0.501547795,0.501547795,0.11125248,0,0.340415532,0.340415532,0.125071197,0,0.255419783,0.255419783,0.14280512,0,0.339226372,0.339226372,0.166663566,,,,,,,,,,,,
James Maslow,Peta Murgatroyd,Actor/Actress,New York,United States,23,18,4,0,0.153742268,0.153742268,0.083333995,0,1,1,0.090885657,0,0.504818151,0.504818151,0.111098058,0,0.506729007,0.506729007,0.111099685,0.098027509,1,0.901972491,0.111254006,0,0.207078199,0.207078199,0.124734408,0,0.173229282,0.173229282,0.142794177,0,0.261049447,0.261049447,0.166666385,0,0.338558935,0.338558935,0.199998737,0,0.338168112,0.338168112,0.249988945,,,,
Candace Cameron Bure,Mark Ballas,Actor/Actress,California,United States,37,18,3,0,0.503811794,0.503811794,0.083240592,0,0.153961265,0.153961265,0.090948139,0,0.154783041,0.154783041,0.111111941,0,0.127917239,0.127917239,0.111130386,0,0.149493407,0.149493407,0.111073734,0,0.156002655,0.156002655,0.125141676,0,0.336617141,0.336617141,0.142836541,0,0.261049447,0.261049447,0.166666441,0,0.211504325,0.211504325,0.200002332,0,0.273242031,0.273242031,0.250079675,,,,
Sean Avery,Karina Smirnoff,Athlete,,Canada,33,18,11,0,0.111045702,0.111045702,0.083549454,0,0.153961265,0.153961265,0.090948087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diana Nyad,Henry Byalikov,Athlete,New York,United States,64,18,12,0,0.107881173,0.107881173,0.083476288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charlie White,Sharna Burgess,Athlete,Michigan,United States,26,18,5,0.063646565,1,0.936353435,0.083275296,0,1,1,0.090885664,0,0.504818151,0.504818151,0.111098058,0,0.257560758,0.257560758,0.111114235,0,0.338499317,0.338499317,0.11108521,0,0.340415532,0.340415532,0.125071197,0,0.205908854,0.205908854,0.142797277,0,1,1,0.166668546,0,0.338558935,0.338558935,0.199998765,,,,,,,,
Amy Purdy,Derek Hough,Athlete,Nevada,United States,34,18,2,0,0.338412392,0.338412392,0.083276421,0,0.25306627,0.25306627,0.090874349,0,0.504818151,0.504818151,0.111098058,0,0.34005734,0.34005734,0.111130746,0,0.338499317,0.338499317,0.11108521,0,0.503541099,0.503541099,0.12507822,0,0.502959427,0.502959427,0.142850256,0,1,1,0.166668546,0,0.502612801,0.502612801,0.199998799,0,0.501448782,0.501448782,0.249965965,,,,
Meryl Davis,Maksim Chmerkoskiy,Athlete,Michigan,United States,27,18,1,0,0.338412392,0.338412392,0.083276426,0,1,1,0.090885664,0.096840293,1,0.903159707,0.111161271,0.090940202,1,0.909059798,0.111134285,0,0.205576062,0.205576062,0.111095786,0.108183528,1,0.891816472,0.124853656,0.131594088,1,0.868405912,0.142977464,0,0.261049447,0.261049447,0.166666516,0.190591916,1,0.809408084,0.200001367,0.238386485,1,0.761613515,0.249965415,,,,
Drew Carey,Cheryl Burke,Comedian,Ohio,United States,55,18,8,0,0.153742268,0.153742268,0.083333995,0,0.153961265,0.153961265,0.090948088,0,0.1257292,0.1257292,0.111163977,0,0.257560758,0.257560758,0.111114235,0,0.135234589,0.135234589,0.111033547,0,0.156002655,0.156002655,0.125141672,,,,,,,,,,,,,,,,,,,,
Cody Simpson,Witney Carson,Singer/Rapper,,Australia,17,18,9,0,0.175559186,0.175559186,0.083167507,0,0.175533115,0.175533115,0.090897242,0,0.170943912,0.170943912,0.111092537,0,0.133815884,0.133815884,0.111074024,0,0.133515373,0.133515373,0.111024241,,,,,,,,,,,,,,,,,,,,,,,,
NeNe Leakes,Tony Dovolani,TV Personality,New York,United States,46,18,7,0,0.153742268,0.153742268,0.08333401,0,0.153961265,0.153961265,0.090948089,0,0.138239916,0.138239916,0.111078041,0,0.174504675,0.174504675,0.111101205,0,0.205576062,0.205576062,0.111095786,0,0.178466998,0.178466998,0.124907975,0,0.155249503,0.155249503,0.142939166,,,,,,,,,,,,,,,,
Antonio Sabato Jr.,Cheryl Burke,Actor/Actress,,Italy,42,19,8,0,0.114749946,0.114749946,0.076934889,0,0.205504862,0.205504862,0.08327494,0,0.138433591,0.138433591,0.090915813,0,0.187475,0.187475,0.099931623,0,0.184953081,0.184953081,0.111109765,0,0.142462718,0.142462718,0.111130646,0,0.156090475,0.156090475,0.124996401,,,,,,,,,,,,,,,,
Jonathan Bennett,Allison Holker,Actor/Actress,Ohio,United States,33,19,9,0,0.173367097,0.173367097,0.076889963,0,0.149148414,0.149148414,0.083266219,0,0.262735375,0.262735375,0.090909046,0,0.124961,0.124961,0.100028123,0,0.171509654,0.171509654,0.111136705,0,0.210218908,0.210218908,0.111138223,,,,,,,,,,,,,,,,,,,,
Lea Thompson,Artem Chigvintsev,Actor/Actress,Minnesota,United States,53,19,6,0,0.338699677,0.338699677,0.076881651,0.07002325,1,0.92997675,0.083447033,0,0.152554096,0.152554096,0.090885147,0,0.5015575,0.5015575,0.100014271,0,0.503782879,0.503782879,0.111099336,0,0.210218908,0.210218908,0.111138223,0,0.50483059,0.50483059,0.124988125,0,0.227399355,0.227399355,0.142851888,0,0.209795084,0.209795084,0.166693456,,,,,,,,
Janel Parrish,Valentin Chmerkovskiy,Actor/Actress,Hawaii,United States,25,19,3,0,0.150895945,0.150895945,0.076928244,0,0.501376215,0.501376215,0.083437593,0,1,1,0.090940493,0,0.256235,0.256235,0.100087287,0,0.254724848,0.254724848,0.111065327,0,0.259370666,0.259370666,0.111105654,0,0.255787708,0.255787708,0.124966099,0.112357189,1,0.887642811,0.142860403,0,1,1,0.166687674,0.18632137,1,0.81367863,0.199903613,0,0.336166836,0.336166836,0.250113386
Alfonso Ribeiro,Witney Carson,Actor/Actress,New York,United States,42,19,1,0.057117345,1,0.942882655,0.076686602,0,0.254128646,0.254128646,0.083353801,0,0.262735375,0.262735375,0.090909048,0.075041,1,0.924959,0.099923853,0,0.503782879,0.503782879,0.111099335,0.089150865,1,0.910849135,0.111083765,0,0.339126041,0.339126041,0.125023502,0,0.504027258,0.504027258,0.142856563,0,1,1,0.166687701,0,0.336976301,0.336976301,0.199829448,0.244150915,1,0.755849085,0.250048973
Lolo Jones,Keo Motsepe,Athlete,Iowa,United States,32,19,13,0,0.103008262,0.103008262,0.077112041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Randy Couture,Karina Smirnoff,Athlete,Washington,United States,51,19,11,0,0.205362344,0.205362344,0.076883171,0,0.135330366,0.135330366,0.083297507,0,0.108130155,0.108130155,0.090882265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tommy Chong,Peta Murgatroyd,Comedian,,Canada,76,19,5,0,0.122133596,0.122133596,0.076930335,0,0.135330366,0.135330366,0.083297507,0,0.344658111,0.344658111,0.090919151,0,0.143331875,0.143331875,0.100043887,0,0.153376591,0.153376591,0.111128994,0,0.142462718,0.142462718,0.111130646,0,0.180181319,0.180181319,0.125017866,0,0.199571774,0.199571774,0.142857504,0,0.20013243,0.20013243,0.166516239,0,0.230116986,0.230116986,0.2003686,,,,
Betsey Johnson,Tony Dovolani,Fashion Designer,Connecticut,United States,72,19,10,0,0.100038098,0.100038098,0.077201293,0,0.135330366,0.135330366,0.083297507,0,0.138433591,0.138433591,0.090915813,0,0.187475,0.187475,0.099931623,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Waltrip,Emma Slater,Racing Driver,Kentucky,United States,51,19,7,0,0.114749946,0.114749946,0.076934889,0,0.100339991,0.100339991,0.083436421,0,0.113287448,0.113287448,0.090873681,0,0.135730556,0.135730556,0.100080085,0,0.146426869,0.146426869,0.111126201,0,0.155998596,0.155998596,0.110998815,0,0.141647785,0.141647785,0.124987606,0,0.184877834,0.184877834,0.142871801,,,,,,,,,,,,
Tavis Smiley,Sharna Burgess,Radio Personality,Mississippi,United States,50,19,12,0,0.150895945,0.150895945,0.076928252,0,0.135330366,0.135330366,0.083297509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bethany Mota,Derek Hough,Social Media Personality,California,United States,18,19,4,0,0.338699677,0.338699677,0.076881642,0,0.336085764,0.336085764,0.083319023,0,1,1,0.090940499,0,0.21248,0.21248,0.099905094,0,0.206802182,0.206802182,0.111101982,0,0.505114454,0.505114454,0.111197271,0.104967302,1,0.895032698,0.125018163,0,0.338699677,0.338699677,0.142855639,0,0.337999564,0.337999564,0.1666875,0,0.502734726,0.502734726,0.200020698,0,0.256914119,0.256914119,0.250019656
Sadie Robertson,Mark Ballas,TV Personality,Louisiana,United States,17,19,2,0,0.502683172,0.502683172,0.076807028,0,0.205504862,0.205504862,0.083274939,0,0.262735375,0.262735375,0.090909046,0,0.338531667,0.338531667,0.100054153,0.085890808,1,0.914109192,0.111132356,0,0.339011615,0.339011615,0.111076759,0,0.21235911,0.21235911,0.125002239,0,0.260065645,0.260065645,0.142846204,0,0.255244509,0.255244509,0.16672743,0,0.254779521,0.254779521,0.19987764,0,0.502127627,0.502127627,0.249817985
Suzanne Somers,Tony Dovolani,Actor/Actress,California,United States,68,20,9,0,0.134412712,0.134412712,0.083278047,0,0.176736455,0.176736455,0.083346315,0,0.142937496,0.142937496,0.09090273,0,0.126809829,0.126809829,0.100037033,0,0.22613241,0.22613241,0.110870106,,,,,,,,,,,,,,,,,,,,,,,,
Willow Shields,Mark Ballas,Actor/Actress,New Mexico,United States,14,20,7,0,0.134412712,0.134412712,0.083278051,0,0.502876844,0.502876844,0.083346094,0,0.25398111,0.25398111,0.090929399,0.080036,1,0.919964,0.100017956,0,0.261474099,0.261474099,0.1110392,0,0.502645177,0.502645177,0.12507919,0,0.503932008,0.503932008,0.142871407,,,,,,,,,,,,,,,,
Riker Lynch,Allison Holker,Actor/Actress,Colorado,United States,23,20,2,0,0.501567327,0.501567327,0.083344155,0,0.502876844,0.502876844,0.083346094,0,1,1,0.090909013,0,0.256138846,0.256138846,0.099978799,0,0.501761784,0.501761784,0.111122648,0.115749382,1,0.884250618,0.124843446,0,0.256874764,0.256874764,0.142912609,0,0.502359066,0.502359066,0.166669881,0,1,1,0.249900824,0,1,1,0.33337034,,,,
Rumer Willis,Valentin Chmerkovskiy,Actor/Actress,Kentucky,United States,26,20,1,0.066075236,1,0.933924764,0.083387869,0,0.502876844,0.502876844,0.083346094,0,0.335456592,0.335456592,0.090932737,0,0.338451538,0.338451538,0.099998461,0.08443859,1,0.91556141,0.111443838,0,0.253965265,0.253965265,0.124907,0,0.256874764,0.256874764,0.142912609,0.144233038,1,0.855766962,0.166682994,0,0.337572951,0.337572951,0.249989606,0,1,1,0.33337034,,,,
Nastia Liukin,Derek Hough,Athlete,,Russia,25,20,4,0,0.336467987,0.336467987,0.083308926,0.068710624,1,0.931289376,0.083328081,0,1,1,0.090909008,0,0.504610385,0.504610385,0.100012259,0,0.501761784,0.501761784,0.111122617,0,0.502645177,0.502645177,0.12507919,0.124321249,1,0.875678751,0.142863811,0,0.338051466,0.338051466,0.166656598,0,1,1,0.249900852,,,,,,,,
Michael Sam,Peta Murgatroyd,Athlete,Texas,United States,25,20,10,0,0.210671824,0.210671824,0.08332407,0,0.176736455,0.176736455,0.083346315,0,0.129886564,0.129886564,0.090889569,0,0.15601967,0.15601967,0.099987716,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robert Herjavec,Kym Johnson,Entrepreneur,,Croatia,52,20,6,0,0.257060472,0.257060472,0.083275125,0,0.176736455,0.176736455,0.083346303,0,0.176227998,0.176227998,0.090903993,0,0.256138846,0.256138846,0.099978799,0,0.137392124,0.137392124,0.111042294,0,0.131600442,0.131600442,0.124983937,0,0.190926549,0.190926549,0.142805154,0,0.186736229,0.186736229,0.166654524,,,,,,,,,,,,
Charlotte McKinney,Keo Motsepe,Model,Florida,United States,21,20,11,0,0.106321938,0.106321938,0.083438767,0,0.101362161,0.101362161,0.083317851,0,0.122639706,0.122639706,0.090928794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
